produto;grupo;ano;area_ha;valor_nominal;valor_real;n_municipios;valor_por_ha_reais
Abacate;Frutas;2016;17,0;983,0;1531,2682499999999;3;90075,0
Abacate;Frutas;2017;17,0;1340,0;2017,8430200000003;3;118697,0
Abacate;Frutas;2018;17,0;873,0;1268,133768;3;74596,0
Abacate;Frutas;2019;10,0;525,0;735,17955;1;73518,0
Abacate;Frutas;2020;8,0;420,0;569,84172;1;71230,0
Abacate;Frutas;2021;8,0;700,0;876,9354999999999;1;109617,0
Abacate;Frutas;2022;10,0;910,0;1043,2058;2;104321,0
Abacate;Frutas;2023;10,0;1720,0;1885,17676;2;188518,0
Abacate;Frutas;2024;7,0;556,0;583,893408;2;83413,0
Abacate;Frutas;2025;7,0;809,0;809,0;2;115571,0
Abacaxi;Frutas;2016;13429,0;368826,0;574538,7015;81;42783,0
Abacaxi;Frutas;2017;11543,0;205923,0;310089,76731900004;81;26864,0
Abacaxi;Frutas;2018;18779,0;565211,0;821034,541976;84;43721,0
Abacaxi;Frutas;2019;14032,0;271306,0;379921,186652;93;27075,0
Abacaxi;Frutas;2020;13680,0;551707,0;748537,299562;93;54718,0
Abacaxi;Frutas;2021;13917,0;694369,0;869881,1802849999;92;62505,0
Abacaxi;Frutas;2022;14168,0;520258,0;596413,36604;92;42096,0
Abacaxi;Frutas;2023;14001,0;1015674,0;1113212,221242;90;79509,0
Abacaxi;Frutas;2024;9274,0;1084065,0;1138450,37292;87;122757,0
Abacaxi;Frutas;2025;11054,0;1113791,0;1113791,0;88;100759,0
Acerola;Frutas;2025;908,0;15481,0;15481,0;48;17050,0
Algodão herbáceo (em caroço);Fibras e fumo;2024;250,0;10500,0;11026,764;1;44107,0
Algodão herbáceo (em caroço);Fibras e fumo;2025;280,0;10408,0;10408,0;1;37171,0
Amendoim (em casca);Grãos e oleaginosas;2016;59,0;198,0;308,4345;8;5228,0
Amendoim (em casca);Grãos e oleaginosas;2017;62,0;184,0;277,076952;8;4469,0
Amendoim (em casca);Grãos e oleaginosas;2018;62,0;222,0;322,480752;8;5201,0
Amendoim (em casca);Grãos e oleaginosas;2019;97,0;245,0;343,08379;9;3537,0
Amendoim (em casca);Grãos e oleaginosas;2020;93,0;283,0;383,96477799999997;9;4129,0
Amendoim (em casca);Grãos e oleaginosas;2021;88,0;249,0;311,938485;9;3545,0
Amendoim (em casca);Grãos e oleaginosas;2022;87,0;225,0;257,9355;9;2965,0
Amendoim (em casca);Grãos e oleaginosas;2023;87,0;616,0;675,156328;9;7760,0
Amendoim (em casca);Grãos e oleaginosas;2024;126,0;856,0;898,943808;10;7134,0
Amendoim (em casca);Grãos e oleaginosas;2025;82,0;635,0;635,0;6;7744,0
Arroz (em casca);Grãos e oleaginosas;2016;72973,0;149327,0;232614,13425;94;3188,0
Arroz (em casca);Grãos e oleaginosas;2017;68434,0;137668,0;207307,770804;96;3029,0
Arroz (em casca);Grãos e oleaginosas;2018;39031,0;78174,0;113556,80318399999;94;2909,0
Arroz (em casca);Grãos e oleaginosas;2019;38241,0;75191,0;105293,115322;88;2753,0
Arroz (em casca);Grãos e oleaginosas;2020;43542,0;93931,0;127442,387146;90;2927,0
Arroz (em casca);Grãos e oleaginosas;2021;44696,0;139223,0;174413,701595;90;3902,0
Arroz (em casca);Grãos e oleaginosas;2022;40556,0;170252,0;195173,48776;88;4812,0
Arroz (em casca);Grãos e oleaginosas;2023;35597,0;173695,0;190375,45193500002;79;5348,0
Arroz (em casca);Grãos e oleaginosas;2024;45449,0;233796,0;245525,077728;79;5402,0
Arroz (em casca);Grãos e oleaginosas;2025;44135,0;215026,0;215026,0;78;4872,0
Açaí;Frutas;2016;166509,0;1980417,0;3084994,58175;100;18527,0
Açaí;Frutas;2017;188483,0;3364277,0;5066106,613281;102;26878,0
Açaí;Frutas;2018;172016,0;2603398,0;3781737,5891679996;102;21985,0
Açaí;Frutas;2019;188015,0;2880215,0;4033286,03353;112;21452,0
Açaí;Frutas;2020;212479,0;4485300,0;6085502,539799999;111;28640,0
Açaí;Frutas;2021;198963,0;5132184,0;6429420,488759999;111;32315,0
Açaí;Frutas;2022;224044,0;5927147,0;6794762,77786;114;30328,0
Açaí;Frutas;2023;226008,0;7784166,0;8531702,813478;117;37750,0
Açaí;Frutas;2024;252012,0;7448791,0;7822481,946888;118;31040,0
Açaí;Frutas;2025;270615,0;8334104,0;8334104,0;121;30797,0
Banana (cacho);Frutas;2016;42510,0;671196,0;1045555,569;122;24596,0
Banana (cacho);Frutas;2017;43911,0;667788,0;1005590,563164;121;22901,0
Banana (cacho);Frutas;2018;35348,0;541741,0;786941,644456;119;22263,0
Banana (cacho);Frutas;2019;35967,0;618369,0;865928,082198;119;24076,0
Banana (cacho);Frutas;2020;35656,0;680051,0;922670,075066;120;25877,0
Banana (cacho);Frutas;2021;39736,0;755983,0;947069,0429949999;118;23834,0
Banana (cacho);Frutas;2022;39126,0;891223,0;1021680,22274;120;26113,0
Banana (cacho);Frutas;2023;37598,0;1012204,0;1109408,986732;119;29507,0
Banana (cacho);Frutas;2024;36973,0;1080909,0;1135136,042712;120;30702,0
Banana (cacho);Frutas;2025;37786,0;1074422,0;1074422,0;119;28434,0
Batata-doce;Raízes e tubérculos;2016;30,0;388,0;604,4069999999999;3;20147,0
Batata-doce;Raízes e tubérculos;2017;30,0;352,0;530,060256;3;17669,0
Batata-doce;Raízes e tubérculos;2018;25,0;250,0;363,154;2;14526,0
Batata-doce;Raízes e tubérculos;2019;25,0;235,0;329,08037;2;13163,0
