produto;grupo;tipo_cultura;ano;area_ha;valor_mil_reais;n_municipios;pct_area_estado;pct_valor_estado;valor_por_ha_reais
Abacate;Frutas;permanente;2016;17,0;983,0;3;0,0;0,01;57824,0
Abacate;Frutas;permanente;2017;17,0;1340,0;3;0,0;0,01;78824,0
Abacate;Frutas;permanente;2018;17,0;873,0;3;0,0;0,01;51353,0
Abacate;Frutas;permanente;2019;10,0;525,0;1;0,0;0,0;52500,0
Abacate;Frutas;permanente;2020;8,0;420,0;1;0,0;0,0;52500,0
Abacate;Frutas;permanente;2021;8,0;700,0;1;0,0;0,0;87500,0
Abacate;Frutas;permanente;2022;10,0;910,0;2;0,0;0,0;91000,0
Abacate;Frutas;permanente;2023;10,0;1720,0;2;0,0;0,01;172000,0
Abacate;Frutas;permanente;2024;7,0;556,0;2;0,0;0,0;79429,0
Abacate;Frutas;permanente;2025;7,0;809,0;2;0,0;0,0;115571,0
Abacaxi;Frutas;temporária;2016;13429,0;368826,0;81;0,86;3,74;27465,0
Abacaxi;Frutas;temporária;2017;11543,0;205923,0;81;0,67;1,92;17840,0
Abacaxi;Frutas;temporária;2018;18779,0;565211,0;84;1,1;5,61;30098,0
Abacaxi;Frutas;temporária;2019;14032,0;271306,0;93;0,77;2,56;19335,0
Abacaxi;Frutas;temporária;2020;13680,0;551707,0;93;0,68;3,61;40329,0
Abacaxi;Frutas;temporária;2021;13917,0;694369,0;92;0,64;3,36;49894,0
Abacaxi;Frutas;temporária;2022;14168,0;520258,0;92;0,61;2,14;36721,0
Abacaxi;Frutas;temporária;2023;14001,0;1015674,0;90;0,55;3,55;72543,0
Abacaxi;Frutas;temporária;2024;9274,0;1084065,0;87;0,33;3,02;116893,0
Abacaxi;Frutas;temporária;2025;11054,0;1113791,0;88;0,33;2,9;100759,0
Acerola;Frutas;permanente;2025;908,0;15481,0;48;0,03;0,04;17050,0
Algodão herbáceo (em caroço);Fibras e fumo;temporária;2024;250,0;10500,0;1;0,01;0,03;42000,0
Algodão herbáceo (em caroço);Fibras e fumo;temporária;2025;280,0;10408,0;1;0,01;0,03;37171,0
Amendoim (em casca);Grãos e oleaginosas;temporária;2016;59,0;198,0;8;0,0;0,0;3356,0
Amendoim (em casca);Grãos e oleaginosas;temporária;2017;62,0;184,0;8;0,0;0,0;2968,0
Amendoim (em casca);Grãos e oleaginosas;temporária;2018;62,0;222,0;8;0,0;0,0;3581,0
Amendoim (em casca);Grãos e oleaginosas;temporária;2019;97,0;245,0;9;0,01;0,0;2526,0
Amendoim (em casca);Grãos e oleaginosas;temporária;2020;93,0;283,0;9;0,0;0,0;3043,0
Amendoim (em casca);Grãos e oleaginosas;temporária;2021;88,0;249,0;9;0,0;0,0;2830,0
Amendoim (em casca);Grãos e oleaginosas;temporária;2022;87,0;225,0;9;0,0;0,0;2586,0
Amendoim (em casca);Grãos e oleaginosas;temporária;2023;87,0;616,0;9;0,0;0,0;7080,0
Amendoim (em casca);Grãos e oleaginosas;temporária;2024;126,0;856,0;10;0,0;0,0;6794,0
Amendoim (em casca);Grãos e oleaginosas;temporária;2025;82,0;635,0;6;0,0;0,0;7744,0
Arroz (em casca);Grãos e oleaginosas;temporária;2016;72973,0;149327,0;94;4,65;1,51;2046,0
Arroz (em casca);Grãos e oleaginosas;temporária;2017;68434,0;137668,0;96;3,96;1,29;2012,0
Arroz (em casca);Grãos e oleaginosas;temporária;2018;39031,0;78174,0;94;2,29;0,78;2003,0
Arroz (em casca);Grãos e oleaginosas;temporária;2019;38241,0;75191,0;88;2,1;0,71;1966,0
Arroz (em casca);Grãos e oleaginosas;temporária;2020;43542,0;93931,0;90;2,16;0,62;2157,0
Arroz (em casca);Grãos e oleaginosas;temporária;2021;44696,0;139223,0;90;2,07;0,67;3115,0
Arroz (em casca);Grãos e oleaginosas;temporária;2022;40556,0;170252,0;88;1,75;0,7;4198,0
Arroz (em casca);Grãos e oleaginosas;temporária;2023;35597,0;173695,0;79;1,4;0,61;4879,0
Arroz (em casca);Grãos e oleaginosas;temporária;2024;45449,0;233796,0;79;1,6;0,65;5144,0
Arroz (em casca);Grãos e oleaginosas;temporária;2025;44135,0;215026,0;78;1,31;0,56;4872,0
Açaí;Frutas;permanente;2016;166509,0;1980417,0;100;10,62;20,06;11894,0
Açaí;Frutas;permanente;2017;188483,0;3364277,0;102;10,9;31,43;17849,0
Açaí;Frutas;permanente;2018;172016,0;2603398,0;102;10,1;25,84;15135,0
Açaí;Frutas;permanente;2019;188015,0;2880215,0;112;10,33;27,19;15319,0
Açaí;Frutas;permanente;2020;212479,0;4485300,0;111;10,54;29,37;21109,0
Açaí;Frutas;permanente;2021;198963,0;5132184,0;111;9,21;24,86;25795,0
