municipio;uf;ano;ano_preliminar;produto;grupo;tipo_cultura;situacao;area_ha;pct_area_total_municipio;valor_mil_reais;valor_por_ha_reais;var_area_ano_anterior_pct;area_total_ha;valor_total_mil_reais;flag_area_sem_valor;flag_salto_area;flag_outlier_valor_ha;flag_produto_inicio_tardio;flag_produto_encerrado;flag_subcomponente
Abaetetuba;PA;2016;False;Abacate;Frutas;permanente;sem_cultivo;0,0;0,0;0,0;;;24480,0;269965,0;False;False;False;False;False;False
Abaetetuba;PA;2017;False;Abacate;Frutas;permanente;sem_cultivo;0,0;0,0;0,0;;;25200,0;283728,0;False;False;False;False;False;False
Abaetetuba;PA;2018;False;Abacate;Frutas;permanente;sem_cultivo;0,0;0,0;0,0;;;24480,0;294254,0;False;False;False;False;False;False
Abaetetuba;PA;2019;False;Abacate;Frutas;permanente;sem_cultivo;0,0;0,0;0,0;;;25940,0;294090,0;False;False;False;False;False;False
Abaetetuba;PA;2020;False;Abacate;Frutas;permanente;sem_cultivo;0,0;0,0;0,0;;;32183,0;337151,0;False;False;False;False;False;False
Abaetetuba;PA;2021;False;Abacate;Frutas;permanente;sem_cultivo;0,0;0,0;0,0;;;25055,0;732072,0;False;False;False;False;False;False
Abaetetuba;PA;2022;False;Abacate;Frutas;permanente;sem_cultivo;0,0;0,0;0,0;;;25095,0;555122,0;False;False;False;False;False;False
Abaetetuba;PA;2023;False;Abacate;Frutas;permanente;sem_cultivo;0,0;0,0;0,0;;;25095,0;755067,0;False;False;False;False;False;False
Abaetetuba;PA;2024;False;Abacate;Frutas;permanente;sem_cultivo;0,0;0,0;0,0;;;28075,0;734365,0;False;False;False;False;False;False
Abaetetuba;PA;2025;True;Abacate;Frutas;permanente;sem_cultivo;0,0;0,0;0,0;;;34800,0;620095,0;False;False;False;False;False;False
Abaetetuba;PA;2016;False;Abacaxi;Frutas;temporária;cultivado;15,0;0,06;270,0;18000,0;;24480,0;269965,0;False;False;False;False;False;False
Abaetetuba;PA;2017;False;Abacaxi;Frutas;temporária;cultivado;15,0;0,06;288,0;19200,0;0,0;25200,0;283728,0;False;False;False;False;False;False
Abaetetuba;PA;2018;False;Abacaxi;Frutas;temporária;cultivado;15,0;0,06;360,0;24000,0;0,0;24480,0;294254,0;False;False;False;False;False;False
Abaetetuba;PA;2019;False;Abacaxi;Frutas;temporária;cultivado;15,0;0,06;360,0;24000,0;0,0;25940,0;294090,0;False;False;False;False;False;False
Abaetetuba;PA;2020;False;Abacaxi;Frutas;temporária;cultivado;25,0;0,08;900,0;36000,0;66,7;32183,0;337151,0;False;False;False;False;False;False
Abaetetuba;PA;2021;False;Abacaxi;Frutas;temporária;cultivado;15,0;0,06;540,0;36000,0;-40,0;25055,0;732072,0;False;False;False;False;False;False
Abaetetuba;PA;2022;False;Abacaxi;Frutas;temporária;cultivado;15,0;0,06;810,0;54000,0;0,0;25095,0;555122,0;False;False;False;False;False;False
Abaetetuba;PA;2023;False;Abacaxi;Frutas;temporária;cultivado;15,0;0,06;540,0;36000,0;0,0;25095,0;755067,0;False;False;False;False;False;False
Abaetetuba;PA;2024;False;Abacaxi;Frutas;temporária;cultivado;15,0;0,05;1089,0;72600,0;0,0;28075,0;734365,0;False;False;False;False;False;False
Abaetetuba;PA;2025;True;Abacaxi;Frutas;temporária;cultivado;15,0;0,04;986,0;65733,0;0,0;34800,0;620095,0;False;False;False;False;False;False
Abaetetuba;PA;2016;False;Acerola;Frutas;permanente;indisponivel;;;;;;24480,0;269965,0;False;False;False;True;False;False
Abaetetuba;PA;2017;False;Acerola;Frutas;permanente;indisponivel;;;;;;25200,0;283728,0;False;False;False;True;False;False
Abaetetuba;PA;2018;False;Acerola;Frutas;permanente;indisponivel;;;;;;24480,0;294254,0;False;False;False;True;False;False
Abaetetuba;PA;2019;False;Acerola;Frutas;permanente;indisponivel;;;;;;25940,0;294090,0;False;False;False;True;False;False
Abaetetuba;PA;2020;False;Acerola;Frutas;permanente;indisponivel;;;;;;32183,0;337151,0;False;False;False;True;False;False
Abaetetuba;PA;2021;False;Acerola;Frutas;permanente;indisponivel;;;;;;25055,0;732072,0;False;False;False;True;False;False
Abaetetuba;PA;2022;False;Acerola;Frutas;permanente;indisponivel;;;;;;25095,0;555122,0;False;False;False;True;False;False
Abaetetuba;PA;2023;False;Acerola;Frutas;permanente;indisponivel;;;;;;25095,0;755067,0;False;False;False;True;False;False
Abaetetuba;PA;2024;False;Acerola;Frutas;permanente;indisponivel;;;;;;28075,0;734365,0;False;False;False;True;False;False
Abaetetuba;PA;2025;True;Acerola;Frutas;permanente;cultivado;5,0;0,01;55,0;11000,0;;34800,0;620095,0;False;False;False;True;False;False
Abaetetuba;PA;2016;False;Algodão herbáceo (em caroço);Fibras e fumo;temporária;sem_cultivo;0,0;0,0;0,0;;;24480,0;269965,0;False;False;False;False;False;False
Abaetetuba;PA;2017;False;Algodão herbáceo (em caroço);Fibras e fumo;temporária;sem_cultivo;0,0;0,0;0,0;;;25200,0;283728,0;False;False;False;False;False;False
Abaetetuba;PA;2018;False;Algodão herbáceo (em caroço);Fibras e fumo;temporária;sem_cultivo;0,0;0,0;0,0;;;24480,0;294254,0;False;False;False;False;False;False
Abaetetuba;PA;2019;False;Algodão herbáceo (em caroço);Fibras e fumo;temporária;sem_cultivo;0,0;0,0;0,0;;;25940,0;294090,0;False;False;False;False;False;False
