municipio;ano;area_total_ha;valor_total_mil_reais;total_status;n_produtos_cultivados;hhi_area;produto_lider_valor;valor_produto_lider;area_ha_Cana e forragens;area_ha_Fibras e fumo;area_ha_Frutas;area_ha_Grãos e oleaginosas;area_ha_Hortaliças;area_ha_Perenes comerciais;area_ha_Raízes e tubérculos;uf;ano_preliminar;pct_soja_milho_area;valor_por_ha_reais
Abaetetuba;2016;24480,0;269965,0;informado;18,0;0,648;Açaí;251160,0;100,0;0,0;19975,0;220,0;0,0;2135,0;2050,0;PA;False;0,4;11028,0
Abel Figueiredo;2016;1158,0;4232,0;informado;7,0;0,373;Mandioca;3479,0;0,0;0,0;14,0;544,0;0,0;0,0;600,0;PA;False;33,7;3655,0
Acará;2016;40077,0;296359,0;informado;13,0;0,331;Mandioca;118149,0;0,0;0,0;6752,0;75,0;0,0;14900,0;18350,0;PA;False;0,1;7395,0
Afuá;2016;140,0;1132,0;informado;2,0;0,592;Banana (cacho);747,0;0,0;0,0;40,0;0,0;0,0;0,0;100,0;PA;False;0,0;8086,0
Água Azul do Norte;2016;4687,0;20310,0;informado;8,0;0,789;Milho (em grão);12782,0;0,0;0,0;128,0;4229,0;0,0;30,0;300,0;PA;False;88,5;4333,0
Alenquer;2016;13797,0;118272,0;informado;17,0;0,366;Mandioca;86625,0;20,0;0,0;1697,0;3960,0;3,0;417,0;7700,0;PA;False;21,7;8572,0
Almeirim;2016;1057,0;11891,0;informado;13,0;0,205;Açaí;6123,0;0,0;0,0;287,0;210,0;0,0;160,0;400,0;PA;False;14,2;11250,0
Altamira;2016;19179,0;123318,0;informado;23,0;0,224;Cacau (em amêndoa);37137,0;30,0;0,0;3735,0;5205,0;8,0;7401,0;2800,0;PA;False;14,6;6430,0
Anajás;2016;240,0;2681,0;informado;4,0;0,347;Banana (cacho);1230,0;0,0;0,0;124,0;0,0;0,0;0,0;116,0;PA;False;0,0;11171,0
Ananindeua;2016;12,0;216,0;informado;1,0;1,0;Banana (cacho);216,0;0,0;0,0;12,0;0,0;0,0;0,0;0,0;PA;False;0,0;18000,0
Anapu;2016;7459,0;44582,0;informado;18,0;0,515;Cacau (em amêndoa);26532,0;0,0;0,0;1042,0;850,0;5,0;5322,0;240,0;PA;False;8,0;5977,0
Augusto Corrêa;2016;6347,0;28699,0;informado;17,0;0,546;Mandioca;19845,0;2,0;35,0;273,0;1468,0;0,0;69,0;4500,0;PA;False;2,4;4522,0
